"ID","name","uuid","text"
"home_activity","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Anda sudah hampir mencapai matlamat anda, {{1}}. Adakah anda dapat {{2}}?

Tekan nombor pada kekunci anda:
1. Ya
2. Belum lagi"
"daily_interaction","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Saya mempunyai kemahiran setersunya sedia untuk anda! Adakah anda bersedia untuk meneruskan matlamat anda, {{1}}?

Tekan nombor pada kekunci anda:
1. Ya
2. Tidak, ingatkan saya pada hari esok"
"first_module_intro","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Sudah masanya untuk mula mencapai matlamat anda, {{1}}. Adakah anda sudah bersedia?

Tekan nombor pada kekunci anda:
1. Ya!
2. Ingatkan saya esok"
"start_started_mod_or_change_goal","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Anda sudah hampir mencapai matlamat anda! {{1}} Apa yang anda ingin lakukan?

Tekan nombor pada kekunci anda:
1. {{2}}
2. Tinggalkan matlamat ini tanpa menyelesaikannya dan pilih matlamat baharu"
"unfinished_onboarding","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","ParentText sudah bermula. Adakah anda sedia untuk lengkapkan pendaftaran anda?

Tekan nombor pada kekunci anda:
1. Ya
2. Ingatkan saya Kemudian"
"select_goal","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Saya bangga dengan kemajuan anda! Adakah anda sudah sedia untuk memilih matlamat keibubapaan yang seterusnya?

Tekan nombor pada kekunci anda:
1. Ya
2. Ingatkan saya Kemudian"
"no_response","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Nampaknya mesej ini tidak berfungsi. Apabila anda sudah bersedia, tekan 1 untuk meneruskan. "
"post_goal_checkin","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Hari ini kita berehat daripada cubaan mencapai matlamat, {{1}}, tetapi kita akan menyemak kemajuan anda. Untuk meneruskan, tekan 1 pada kekunci anda."
"complete_start_module","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Anda sudah agak ketinggalan! Anda mahu selesaikan kemahiran sebelum ini atau ingin mulakan yang baharu?

Tekan nombor pada kekunci anda:
1. Selesaikan
2. Mula baharu"
