"ID","name","uuid","text"
"home_activity","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Wenza kahle kakhulu ekuzuzeni injongo yakho, {{1}}. Ukwazile uku- {{2}}?

Cindezela inombolo kukhiphedi yakho:
1. Yebo
2. Hhayi okwamanje"
"first_module_intro","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Yisikhathi sokuqala ngenjongo yakho, {{1}}. Usukulungele?

Cindezela inombolo kukhiphedi yakho:
1. Yebo!
2. Ngicela ungikhumbuze kusasa"
"start_started_mod_or_change_goal","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Ususondele kakhulu ekufinyeleleni kule njongo! {{1}} Yini ongathanda ukuyenza?

Cindezela inombolo kukhiphedi yakho:
1. {{2}}
2. Ungabe usafinyelela kule njongo kodwa khetha enye entsha"
"unfinished_onboarding","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","I-ParentText isiqalile. Usukulungele ukuphothula ukubhalisa ukuze ukhethe izinjongo zakho zokukhulisa izingane?

Cindezela inombolo kukhiphedi yakho:
1. Yebo
2. Ngikhumbuze Emva Kwesikhashana"
"select_goal","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Yinhle inqubekelaphambili yakho. Usukulungele ukukhetha injongo elandelayo yokukhulisa izingane?

Cindezela inombolo kukhiphedi yakho:
1. Yebo
2. Ngikhumbuze Emva Kwesikhashana"
"no_response","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Sengathi le miyalezo ayisebenzi. Uma usukulungele ukuqhubeka, cindezela u-1. "
"post_goal_checkin","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Namuhla sithi ukuma kancane mayelana nenjongo yakho, {{1}}, ukuze sibheke ukuthi uqhubeka kanjani. Cindezela u-1 kukhiphedi yakho ukuze uqhubekele phambili."
"complete_start_module","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Awukho endleleni! Ingabe ufuna ukuqedela ikhono langaphambilini noma ukuqala ikhono elisha?

Cindezela inombolo kukhiphedi yakho:
1. Qedela
2. Qala okusha"
