"ID","name","uuid","text"
"home_activity","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Wenta kahle kakhulu kufika emgomeni, {{1}}. Ukhonile yini {{2}}?

Facata inombolo kukhiphedi:
1. Yebo
2. Ngisengakakwenti"
"first_module_intro","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Sesikhatsi sekucala ngemgomo wakho, {{1}}. Sewulungele yini?

Facata inombolo kukhiphedi:
1. Yebo!
2. Ngikhumbute kusasa"
"start_started_mod_or_change_goal","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Sewucishe uyacedza lomgomo! {{1}} Ufuna kwentani?

Facata inombolo kukhiphedi:
1. {{2}}
2. Shiya lomgomo ungakapheli bese ucala lomunye umgomo"
"unfinished_onboarding","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","I-ParentText seyicalile. Sewulungele yini kucedzela kubhalisa nekukhetsa imigomo yakho yebutali?

Facata inombolo kukhiphedi:
1. Yebo
2. Ngicela ubuye ungikhumbute"
"select_goal","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Usachuba kahle. Sewulungele yini kukhetsa umgomo wakho webutali?

Facata inombolo kukhiphedi:
1. Yebo
2. Ngicela ubuye ungikhumbute"
"no_response","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Kungatsi lemilayeto ayisebenti. Uma sewulungele kuchubeka, facata 1. "
"post_goal_checkin","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Lamuhla sitsatsa likhefu emgomeni wakho, {{1}}, bese sihlola kutsi sewuchubeke kangakanani. Cindezela 1 ekhiphedi yakho kute uchubeke."
"complete_start_module","missing","6286bf8c-f533-4823-9e2d-0cfddb63ee9f","Sewuphumile endleleni! Ufuna kucedzela likhono lelisemuva noma kucala likhono lelisha?

Facata inombolo kukhiphedi:
1. Cedza
2. Cala lokusha"
